title,company,link,score,date,snippet,daily_tasks
"Advania UK hiring Data Analyst in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-analyst-at-advania-uk-4401448918,5,"Wed, 15 Apr 2026 16:45:04 GMT","Position Overview The Data Analyst will support Advania UK‚Äôs Finance team by transforming financial and operational data into trusted insight. You will build and maintain repeatable reporting and analytics solutions that improve visibility of performance (e.g., revenue, margin, cost, NRR, and forecasting KPIs), enable faster decision-making, and strengthen governance over finance data. Salary & Benefits The budgeted salary for this role is between ¬£45,000 - ¬£50,000 a year, depending on experience. Click here for the list of benefits. Hybrid working We recognise the benefits that remote and flexible working brings. We operate a hybrid working policy that allows our employees to balance time in the office and time from home. Each team within our organisation can decide how to implement this policy. If you have any questions after applying, please reach out to our recruitment team. Responsibilities Your day-to-day responsibilities will include: Partner with Finance stakeholders to understand reporting needs and translate them into clear requirements, metrics definitions, and deliverables. Develop and maintain Power BI semantic models and dashboards, including robust measures and drill-through analysis to support month-end and performance reporting. Write and optimise SQL queries to extract, join, and validate data from multiple sources; document assumptions and business logic. Build scalable data transformations and pipelines in Databricks using Python and PySpark to cleanse, standardise, and enrich finance datasets. Implement automated data quality checks (reconciliation, completeness, variance analysis) and investigate anomalies with Finance and system owners. Create efficient Excel-based analysis and templates for ad-hoc finance work (e.g., pivots, Power Query, modelling), reducing manual effort through automation where possible. Maintain clear documentation for datasets, calculations, and reporting outputs to ensure transparency and auditability. Support continuous improvement initiatives across Finance, including standardising KPIs and improving reporting cadence and self-service access. Build and maintain business-wide commercial reports and dashboards, providing insight across the full sales lifecycle (pipeline, bookings, revenue, margin, and performance KPIs). Qualifications & Experience The ideal candidate for this role will have: Essential Python experience for analysis and automation. Familiarity with Pandas library. Hands-on experience with Databricks, including PySpark for large-scale transformation and processing. Strong SQL skills for data extraction, transformation, and validation. Power BI development experience (data modelling, DAX, Power Query, report design, and performance optimisation). Desirable Experience with finance/ERP systems and data warehouses/lakehouses. Exposure to Azure data services and modern analytics platforms (e.g., Microsoft Fabric, Azure Data Lake, Synapse) Past experience of working within a finance departmen","• Power BI dashboards and semantic models with DAX measures that provide Finance stakeholders with visibility into revenue, margin, cost, and forecasting KPIs for month-end and performance reporting
• SQL queries and PySpark/Python pipelines in Databricks that extract, cleanse, and transform financial data from multiple sources into reliable, standardised datasets ready for analysis
• Automated data quality checks, reconciliation outputs, and Excel-based financial templates that flag anomalies, reduce manual effort, and ensure reporting outputs are accurate and auditable"
"Teya hiring Senior Data Analyst (Credit) in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/senior-data-analyst-credit-at-teya-4380437802,5,"Sat, 18 Apr 2026 15:13:58 GMT","Hello! We're Teya. Teya is a payment and software service provider, headquartered in London serving small, local businesses across Europe. Founded in 2019, we build easy to use, integrated tools that enable our members to accept payments and boost business performance. At Teya we believe small, local businesses are the lifeblood of our communities. We’re here because we don’t believe there’s a level playing field that gives small businesses with a fighting chance against the giants of the high street. We’re here because we see banks and legacy service providers making things harder for them. We don’t think the best technology or the best service should be reserved for those with the biggest headquarters. We’re here to fight for a future where small, local businesses can thrive, and to commit the same dedication they offer all of us. Become a part of our story. We’re looking for exceptional talent to join our mission. We offer a chance to create impact in a high-energy and connected culture, while benefiting from continuous learning opportunities, a supportive community which is proud to serve our mission, and comprehensive benefits. The Role We are looking for a Senior Credit Data Analyst to lead our data strategy within the Credit Product team. You will be responsible for the full data lifecycle — from designing robust dbt models to delivering insights that drive SMB lending decisions. You will work closely with Credit, Product, and Engineering teams to ensure our credit products are optimized, scalable, and supported by high-integrity data. Key Responsibilities Data Leadership Lead the credit business with data-driven solutions Own the roadmap for credit reporting and analytics from inception to delivery Modelling & Architecture Design, implement, and maintain scalable data models in dbt Ensure the Data Warehouse remains a reliable “source of truth” for credit performance Stakeholder Management Partner with business leads to gather requirements Translate complex raw data into well-structured data models and clear reports Self-Service Growth Develop and maintain Tableau dashboards Promote a data-driven culture by enabling non-technical stakeholders to interpret insights independently Optimization & Analysis Analyze external customer data (Credit Bureau, Companies House) alongside internal business data Improve risk assessment and product conversion performance Data Quality Maintain high data quality standards across the lifecycle Collaborate with Data Engineers to ensure reporting requirements are aligned with product implementation Must Have Requirements 3+ years’ experience in a data-related role (ideally within FinTech or Lending) Strong proficiency in SQL Strong experience with Tableau (or equivalent BI tool) Proven experience with dbt and data modelling in cloud environments (Snowflake, Redshift) Strong understanding of ETL processes Experience collaborating with Data Engineers on production pipelines Proficiency using Git for version contr","• Builds and maintains dbt data models in Snowflake that serve as the source of truth for credit performance metrics, loan book reporting, and risk assessment
• Designs and updates Tableau dashboards that allow Credit, Product, and business stakeholders to self-serve insights on SMB lending performance and product conversion
• Writes and optimises SQL queries to analyse data from internal systems and external sources (Credit Bureau, Companies House) to surface actionable findings for credit decisioning"
"VSL International Ltd. hiring Digital & Data Engineer in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/digital-data-engineer-at-vsl-international-ltd-4401638358,5,"Mon, 20 Apr 2026 14:46:48 GMT","As part of Bouygues Construction's Public Works division, VSL International participates in the construction of major technical structures and guarantees their structural safety and durability: transport infrastructure (bridges, tunnels), industrial and energy production structures, and commercial buildings. VSL's Business Is Based On Four Areas Of Expertise Structural systems and technologies Civil engineering Foundations and soil engineering Preservation, structural repairs, renovation and optimization of structures. VSL has 4,000 employees at 25 locations worldwide (Asia and Oceania, Middle East, Europe, Latin America, Canada). Position We are seeking a Digital & Data Engineer to support the rollout of digital systems and deliver robust data solutions across our ground engineering operations. This is a hybrid role combining digital implementation and data engineering, focused on improving how site data is captured, integrated, and used. You will work closely with site teams, project managers, and digital specialists to ensure accurate, timely, and structured data is available to support operational performance, commercial tracking, and data-driven decision-making. This position is ideal for an early-career to mid-level professional looking to build experience across both digital delivery and data engineering within a major infrastructure environment. Main Responsibilities Digital Rollout Deploy and configure digital tools and systems across the project (e.g. site reporting and data capture platforms) Drive adoption of digital solutions and workflows across site teams Provide training, user support, and troubleshooting to ensure effective use of systems Act as the interface between site teams and the digital team to align solutions with operational needs Monitor system usage and continuously improve digital processes based on user feedback Data Modelling & Transformation Design, develop, and maintain scalable data pipelines using Python and SQL Integrate external data sources via APIs, including authentication, extraction, and automated ingestion Transform raw data into structured, analytics-ready datasets aligned to project data models Monitor and maintain data quality across all stages (raw to processed to reporting) Implement automated workflows, including incremental loads and validation checks Ensure consistency, integrity, and reliability of data across systems Translate business and operational requirements into scalable data solutions Produce clear technical documentation covering pipelines, data models, and integrations Data Engineering Design, develop, and maintain Power BI dashboards and reports Create visualisations that clearly communicate trends, patterns, and exceptions Build automated refresh schedules, row-level security, and governance standards Ensure reports meet accessibility and usability standards for end users Data Governance & Compliance Ensure compliance with UK data protection and information governance requirements (","• Python/SQL data pipelines that extract, transform, and load site data from APIs and external sources into structured, analytics-ready datasets
• Power BI dashboards and reports that visualise operational performance, commercial tracking, and site data trends for project teams
• Technical documentation covering data models, pipeline logic, and system integrations, alongside training materials and user support for deployed digital tools"
"Haystack hiring Data Analyst in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-analyst-at-haystack-4402655714,5,"Thu, 16 Apr 2026 02:47:32 GMT","Data Analyst | ¬£500 - ¬£510 We're working with a leading digital transformation consultancy delivering mission-critical public sector infrastructure on this exciting opportunity. We are searching for a technically-astute Data Analyst with a background in engineering to spearhead a major decommissioning program. You will bridge the gap between legacy codebases and modern data architecture, utilizing Python and PySpark to map complex data flows within a high-security AWS environment. The Role Lead the forensic analysis of existing systems built on Java, Node JS, and React to document end-to-end data lineage. Reverse engineer complex data models and system dependencies to support critical decommissioning and migration decisions. Use Python, PySpark, and AWS Glue to validate data pipelines and confirm how information transforms across the wider program. Ensure data integrity and accuracy by implementing rigorous testing frameworks using PyTest and Great Expectations. Collaborate with cross-functional teams to clarify ownership, integration points, and RDS storage structures. What You'll Need An active SC Clearance is mandatory due to the secure nature of the environment. Strong technical background with the ability to read and understand Java, Node JS, and React codebases. Advanced proficiency in Python, PySpark, and working with JSON/RDS datasets. Proven experience in Cloud environments (AWS preferred, Databricks is a significant plus). Expertise in Data Quality management and automated testing (PyTest, Great Expectations). What's On Offer Competitive day rate of ¬£500 - ¬£510 (Inside IR35). 100% Remote working flexibility for a better work-life balance. Long-term stability with a 1-year contract duration. The chance to work on large-scale, impactful datasets within a high-profile secure program. Apply via Haystack today!","• Data lineage documentation mapping end-to-end data flows across legacy Java, Node JS, and React codebases
• Validated data pipeline reports confirming how information transforms across the program using Python, PySpark, and AWS Glue
• Data quality test results and integrity checks produced through automated testing frameworks using PyTest and Great Expectations"
"Haystack hiring Data Analyst in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-analyst-at-haystack-4403170524,5,"Fri, 17 Apr 2026 02:43:53 GMT","Data Analyst | £500 - £510 We're working with a leading digital transformation consultancy delivering mission-critical public sector infrastructure on this exciting opportunity. We are searching for a technically-astute Data Analyst with a background in engineering to spearhead a major decommissioning program. You will bridge the gap between legacy codebases and modern data architecture, utilizing Python and PySpark to map complex data flows within a high-security AWS environment. The Role Lead the forensic analysis of existing systems built on Java, Node JS, and React to document end-to-end data lineage. Reverse engineer complex data models and system dependencies to support critical decommissioning and migration decisions. Use Python, PySpark, and AWS Glue to validate data pipelines and confirm how information transforms across the wider program. Ensure data integrity and accuracy by implementing rigorous testing frameworks using PyTest and Great Expectations. Collaborate with cross-functional teams to clarify ownership, integration points, and RDS storage structures. What You'll Need An active SC Clearance is mandatory due to the secure nature of the environment. Strong technical background with the ability to read and understand Java, Node JS, and React codebases. Advanced proficiency in Python, PySpark, and working with JSON/RDS datasets. Proven experience in Cloud environments (AWS preferred, Databricks is a significant plus). Expertise in Data Quality management and automated testing (PyTest, Great Expectations). What's On Offer Competitive day rate of £500 - £510 (Inside IR35). 100% Remote working flexibility for a better work-life balance. Long-term stability with a 1-year contract duration. The chance to work on large-scale, impactful datasets within a high-profile secure program. Apply via Haystack today!","• Data lineage documentation mapping end-to-end data flows across legacy Java, Node JS, and React codebases
• Validated data pipeline reports confirming how information transforms across the program using Python, PySpark, and AWS Glue
• Data quality test results and integrity reports produced through automated testing frameworks using PyTest and Great Expectations"
"Checkout.com hiring Graduate, Data Science & Analytics in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/graduate-data-science-analytics-at-checkout-com-4400815031,4,"Fri, 17 Apr 2026 07:57:35 GMT","Company Description We’re Checkout.com – you might not know our name, but companies like eBay, ASOS, Klarna, Uber Eats, and Sony do. That moment when you check out online? We make it happen. Checkout.com is where the world checks out. Our global network powers billions of transactions every year, making money move without making a fuss. We spent years perfecting a service most people will never notice. Because when digital payments just work, businesses grow, customers stay, and no one stops to think about why. With 19 offices spanning six continents, we feel at home everywhere – but London is our HQ. Wherever our people work their magic, they’re fast-moving, performance-obsessed, and driven by being better every day. Ideal. Because a role here isn’t just another job; it’s a career-defining opportunity to build the future of fintech. Job Description As a Data Analytics Engineer at Checkout you will be responsible for enabling key insights on how products are performing and establishing a single source of truth for North Star and tracking metrics, working closely with product managers and product data scientists to shape the product’s evolution at Checkout. You'll have the opportunity to build new data products and introduce step changes in how we view analytics for these critical areas. You'll have end-to-end ownership of multiple data products from design to implementation to the operationalisation. How You’ll Make An Impact Design and implement high-performance, reusable, and scalable data models for our data warehouse using dbt and Snowflake Design and implement Looker structures (explores, views, etc) which will enable users across the organization to self-serve analytics Work closely with data analysts and business teams to understand business requirements and provide data ready for analysis and reporting Continuously discover, transform, test, deploy and document data sources and data models Apply, help define, and champion data warehouse governance: data quality, testing, documentation, coding best practices and peer reviews Take initiative to improve and optimise analytics engineering workflows and platforms Key Requirements Proven delivery experience as a data, business intelligence or analytics engineer Hands-on proven data modeling and data warehousing skills demonstrated in large-scale data environments Proven experience in software development lifecycle in analytics (e.g. version control, testing, and CI/CD) Excellent SQL and data transformation skills (e.g. ideally proficient in dbt or similar) Familiarity with at least one of these Cloud technologies: Snowflake, AWS, Google Cloud, Microsoft Azure Passionate about sales, finance, customer, marketing and/or product analytics data Good attention to detail to highlight and address data quality issues Additional Information Bring all of you to work We create the conditions for high performers to thrive, through real ownership, fewer blockers, and work that makes a difference from day on","• Scalable data models built in dbt and Snowflake that serve as a single source of truth for product and business metrics
• Looker explores and views that enable self-serve analytics reporting across business teams
• Documented, tested, and version-controlled data pipelines that transform raw data sources into analysis-ready datasets"
"Immediate hiring Data Engineer in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-engineer-at-immediate-4403389198,4,"Mon, 20 Apr 2026 10:50:30 GMT","Data Engineer (up to £55,000) Immediate is home to some of the biggest and most loved consumer brands in the UK, including Radio Times, Good Food and BBC Gardeners World magazine. Our trusted, quality content reaches millions of people a month across digital, print, video, podcasts, apps and live events.  We're the destination for people looking to get more from the things they love. We're here to inspire, fuel, encourage and educate.  Whether it's the big things, or the little things; from reaching fitness goals to savouring good food, cultivating outdoor spaces, or enjoying the latest TV sensation - we help bring our audiences joy!  About the team  The Data Engineering Team is a highly skilled and effective team, that is in high demand within the business. The team works within the Product & Technology department at Immediate Media to deliver multi-department projects and service the data requirements of the business.  About you   You will have technical experience and a passion for solving data problems. You will be comfortable handling data in any format, data modelling and ETL processes. You will have a demonstrable technical skillset as data engineering skills are paramount to this role.  You will have good communication skills and be comfortable working with stakeholders and translating business requirements into technical specifications.  You should be delivery driven, self-motivated and capable of independent working. You should strive for best practice and technical excellence and be a person that actively looks for continual improvement.  As a Data Engineer, you will; Develop data solutions to meet company needs.  Build robust data pipelines to get data where it needs to be.  Take ownership for delivering engineering tasks on time and to specification.  Build strong relationships with key stakeholders outside the team.  Be responsible for data quality and ensuring problems are resolved swiftly.  Contribute to robust processes and technical best practice.  Help maintain and improve the data platform and technology.  Foster skills, share knowledge and cross-train with peers.  Requirements Experience as a Data Engineer, Analytics, Software Engineer or Technical Analyst.  Good knowledge of Python including using Pyspark/Apache Spark.  Proven experience building and maintaining data pipelines end-to-end.  Advanced SQL skills.  Knowledge of one or more data warehouse or lakehouse platforms such as Snowflake, Databricks, MS Synapse.  Experience with a cloud platform (Azure/GCP/AWS)  Experience with Code control/Git  Have used an orchestration tool, such as ADF, Airflow, Glue or Data Factory  Advantageous, but not required:  Databricks  DBT  CI\CD  Atlassian (Jira, Confluence)  Benefits A relaxed working environment with regular socials including a summer festival Supportive well-being initiatives and benefits, talks & workshops, and Mental Health First aiders & Champions 25 days holiday plus a day for your birthday. Our offices will be closed","• Builds and maintains automated data pipelines that extract, transform, and load data from various sources into the company's data warehouse or lakehouse platform
• Writes and optimises Python and SQL code to develop data solutions that meet business requirements, ensuring data quality and accuracy throughout
• Creates and documents technical specifications translated from stakeholder business requirements, contributing to data platform improvements and engineering best practices"
"W3Global hiring Data Analyst in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-analyst-at-w3global-4402282964,4,"Wed, 15 Apr 2026 13:52:48 GMT","Skills Along with the job spec, we looking for not a standard data engineer profile, but someone with strong troubleshooting and stakeholder interaction skills. In other words, a candidate who can: Engage directly with developers and end users to understand issues. Diagnose and identify problems across systems, pipelines, or data flows. Communicate findings clearly and collaborate on solutions. Bring hands on issue finding experience, not just building or maintaining data pipelines. Flexible for both FTE/ Contract , preferably FTE - location - London , 5 Days onsite ,min 8+ yrs with banking /payments industry experience. Data Management Sr Associate : You will work in a collaborative environment as part of a diverse, inclusive, and geographically distributed team. We are seeking individuals with a curious mindset and a keen interest in new technology. Our data management associates are naturally solution-oriented and possess an interest in the financial sector and focus on addressing our customer needs. We work in teams focused on specific banking functions and products, providing opportunities to build data pipelines and reporting capabilities for functional areas such as finance and business management, treasury operations, financial crime prevention, regulatory reporting and analytics. We collaborate with product teams such as card payments, electronic payments, lending, customer onboarding, core banking, and insurance to understand their product data models and deliver tailored data solutions that meet business needs. Job Responsibilities Partner with cross-functional teams to gather requirements, analyze data, deliver accurate reports and develop data-driven solutions that meet those needs. Apply domain modelling techniques to design and develop top-tier business products using industry best practices to ensure high data quality and minimize redundancy. Maintain data accuracy, integrity, and consistency across all data layers. Drive process improvements and automation initiatives to boost reporting efficiency and data quality. Collaborate with data engineers to streamline and enhance data reporting workflows through automation. Work with internal teams to resolve data issues and discrepancies in reporting. Communicate findings and insights to stakeholders using clear and effective visualizations and summaries. Assist product teams in extracting and analyzing data for functional testing and data investigations. Contribute to data governance and compliance efforts to ensure adherence to standards and regulations. Deliver end-to-end reporting solutions on cloud infrastructure leveraging the latest technologies and the best industry practices Required Qualifications, Capabilities & Skills Formal training or certification on data engineering concepts and applied experience Recent hands-on professional experience in a reporting, data analysis or business intelligence role Experience in database querying techniques and SQL Understanding of how to m","• Diagnostic reports and root cause analyses documenting identified data issues, discrepancies, or pipeline failures, shared with developers and stakeholders to drive resolution
• SQL-based data queries and investigation outputs used to support functional testing, data validation, and ad hoc analysis requests from product and business teams
• Clear stakeholder-facing summaries, visualisations, and findings that translate complex data problems into actionable insights across banking and payments functions"
"Haystack hiring Data Analyst in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-analyst-at-haystack-4403167587,4,"Fri, 17 Apr 2026 14:43:51 GMT","Data Analyst | £44,290 - £47,800 We're working with a major high-impact enterprise organisation managing a complex, large-scale digital ecosystem on this exciting opportunity. We are looking for a data detective who can bridge the gap between technical infrastructure and operational excellence by ensuring seamless data flow across CRM, HR, and Finance platforms. This isn't a typical dashboards-and-reporting role; you will be the primary troubleshooter for business-critical integrations using SQL to interrogate relational databases and solve complex data mapping puzzles. If you enjoy hunting down root causes in complex data environments, this is the challenge for you. The Role Lead the investigation into data discrepancies and failed integrations across a multi-system enterprise landscape. Perform deep-dive analysis on source and target systems to understand complex mapping and transformation logic. Partner with diverse stakeholders to resolve data quality issues at the source, ensuring long-term integration reliability. Monitor ongoing data health and develop strategies for reconciliation across platforms like CRM, learning systems, and financial tools. Act as the data subject matter expert within a specialist integration team, focusing on data integrity rather than software development. What You'll Need Expert-level SQL skills with extensive experience querying relational databases such as SQL Server, Oracle, or MySQL. Proven track record of troubleshooting data issues within an ETL or integrated system environment. Strong understanding of data mapping, transformation logic, and complex reconciliation processes. Experience working within large-scale organisations (e.g., Public Sector, Finance, Education, or Healthcare) managing multiple stakeholder groups. A methodical, persistent, and detail-oriented approach to problem-solving and root-cause analysis. What's On Offer Competitive salary up to £47,800 plus a generous pension scheme and annual leave allowance. Rapid professional development opportunities within a technically challenging and supportive environment. Hybrid working model based in a prime London location (2 days per week onsite). 12-month fixed-term contract with the potential to make a visible impact on large-scale digital operations. Apply via Haystack today!","• SQL query outputs and investigation reports that identify root causes of data discrepancies and failed integrations across CRM, HR, and Finance platforms
• Data reconciliation analyses comparing source and target systems to validate mapping and transformation logic accuracy
• Data health monitoring documentation and reconciliation strategies that ensure ongoing integration reliability across enterprise platforms"
"Haystack hiring Data Analyst in London, England, United Kingdom",LinkedIn,https://uk.linkedin.com/jobs/view/data-analyst-at-haystack-4403867069,4,"Sun, 19 Apr 2026 02:43:56 GMT","Data Analyst | £44,290 - £47,800 We're working with a major high-impact enterprise organisation managing a complex, large-scale digital ecosystem on this exciting opportunity. We are looking for a data detective who can bridge the gap between technical infrastructure and operational excellence by ensuring seamless data flow across CRM, HR, and Finance platforms. This isn't a typical dashboards-and-reporting role; you will be the primary troubleshooter for business-critical integrations using SQL to interrogate relational databases and solve complex data mapping puzzles. If you enjoy hunting down root causes in complex data environments, this is the challenge for you. The Role Lead the investigation into data discrepancies and failed integrations across a multi-system enterprise landscape. Perform deep-dive analysis on source and target systems to understand complex mapping and transformation logic. Partner with diverse stakeholders to resolve data quality issues at the source, ensuring long-term integration reliability. Monitor ongoing data health and develop strategies for reconciliation across platforms like CRM, learning systems, and financial tools. Act as the data subject matter expert within a specialist integration team, focusing on data integrity rather than software development. What You'll Need Expert-level SQL skills with extensive experience querying relational databases such as SQL Server, Oracle, or MySQL. Proven track record of troubleshooting data issues within an ETL or integrated system environment. Strong understanding of data mapping, transformation logic, and complex reconciliation processes. Experience working within large-scale organisations (e.g., Public Sector, Finance, Education, or Healthcare) managing multiple stakeholder groups. A methodical, persistent, and detail-oriented approach to problem-solving and root-cause analysis. What's On Offer Competitive salary up to £47,800 plus a generous pension scheme and annual leave allowance. Rapid professional development opportunities within a technically challenging and supportive environment. Hybrid working model based in a prime London location (2 days per week onsite). 12-month fixed-term contract with the potential to make a visible impact on large-scale digital operations. Apply via Haystack today!","• SQL query outputs and investigation reports that identify root causes of data discrepancies and failed integrations across CRM, HR, and Finance platforms
• Data reconciliation analyses comparing source and target systems to validate mapping and transformation logic across the multi-system landscape
• Data health monitoring outputs and reconciliation strategies that document findings and recommended fixes to share with stakeholders for long-term integration reliability"
