title,company,link,score,date,snippet,daily_tasks
"Ministry of Justice - New Zealand hiring Data Infrastructure Engineer in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/data-infrastructure-engineer-at-ministry-of-justice-new-zealand-4404535496,4,"Tue, 21 Apr 2026 05:36:59 GMT","Job Description Te Haeata/The Opportunity We're looking for a Data Infrastructure Engineer with deep expertise in Microsoft Fabric to design, build, and operate modern, scalable data platforms for Te Au Reka. This role sits at the heart of our data ecosystem, enabling analytics, reporting, and advanced insights across the organisation. You'll work closely with data engineers, analytics teams, architects, and product owners to ensure our data infrastructure is reliable, secure, and future-ready. In this exciting position you will collaborate with a diverse group of talented and passionate individuals, all dedicated to delivering innovative solutions for the Ministry. Be part of our growing team, where your contributions will make a significant difference. The Data Infrastructure Engineer will be involved in the full lifecycle and management of our database and infrastructure services underpinning our business applications. This includes designing, building and maintaining the databases and infrastructure required for efficient data processing on scalable and reliable data platforms. We offer a collaborative and supportive work environment, where you can learn and grow both professionally and personally. If you are looking for a challenging and rewarding opportunity to make a meaningful impact, we encourage you to apply to join our team. This is a Fixed term full-time position for 12 months, located within the Ministry of Justice National Office in Wellington. This Role Will Include Build and operate reliable ingestion pipelines from complex source systems, including change data capture to support real-time reporting requirements. Handle schema evolution and data quality issues in enterprise data platforms Design and implement enterprise-grade data platforms using Microsoft Fabric Develop secure, performant data ingestion and transformation processes Lead platform-level decisions around scalability, performance, and cost optimisation Implement data governance, security, and access controls within Fabric Monitor, troubleshoot, and optimise data workloads across the platform Collaborate with analytics engineers and BI teams to support Power BI and downstream use cases Contribute to architecture standards, documentation, and best practices Mentor teammates and uplift organisational capability in Fabric and modern data engineering The successful person will report directly to the Manager- Digital Design within Te Au Reka. Ō Pūkenga/Skills And Experience To be successful in the role, it is advantageous to have the following: Experience with Fabric Lakehouse, Warehouse and OneLake Experience with Fabric Pipelines/Dataflows Gen2 Managing Fabric Capacity (F, SKU sizing, cost optimisation) Experience in enterprise / regulated environments Strong hands-on experience with Microsoft Fabric (required) Solid background in modern data engineering and cloud data platforms Experience with Azure Data Services (e.g. Data Lake, Synapse, Azure SQL, Entra ID) Proficienc","• Ingestion pipelines and data transformation workflows built using Microsoft Fabric Pipelines and Dataflows Gen2, including change data capture processes from complex source systems

• Configured and optimised Fabric Lakehouse/Warehouse environments with implemented data governance controls, access permissions, and security policies to meet enterprise compliance requirements

• Performance monitoring reports, troubleshooting documentation, and architecture standards/best practice guides that support analytics engineers and Power BI teams in consuming reliable, high-quality data"
"FMG (Farmers Mutual Group) hiring Data Engineer in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/data-engineer-at-fmg-farmers-mutual-group-4401261968,4,"Mon, 20 Apr 2026 02:00:25 GMT","We have an exciting opportunity for a Data Engineer to join our Digital & Data team, playing a key role in building strong, trusted data foundations that support analytics, reporting, and operational decision‑making across FMG. The role Reporting to the Delivery Manager – Data Engineering, this is an individual contributor role focused on technical delivery, quality, and continuous improvement. You’ll design, build and support reliable data pipelines and data assets that enable insight, reporting and future‑focused analytics use cases across the organisation. You’ll work closely with analytics practitioners, platform specialists and governance colleagues to ensure FMG’s data is trusted, reusable, and fit for purpose – both now and into the future. What You’ll Be Doing Designing, developing and maintaining data pipelines, transformations and data assets that support analytics and operational intelligence Analysing source systems and data structures to determine appropriate modelling and transformation approaches Supporting the reliability, performance and usability of data platforms and assets Contributing to consistent data definitions, metadata and modelling standards Collaborating with technical and business stakeholders to clarify requirements and deliver fit‑for‑purpose solutions Ensuring data assets meet governance, privacy, security and quality expectations Contributing to team knowledge‑sharing and continuous improvement across data engineering practices About You You’re a technically capable data engineer who enjoys working collaboratively and takes pride in delivering high‑quality, well‑documented solutions. You’ll bring: A relevant tertiary qualification in Computer Science, Information Systems, Data Science, or a related discipline, or equivalent practical experience delivering production data assets in cloud environments Strong understanding of data engineering fundamentals, including dimensional data modelling, SQL, ETL/ELT patterns, and distributed data processing, with hands‑on experience using modern data platforms (e.g. Azure Data Factory/Fabric, Databricks, Snowflake, or similar) Experience building and operating reliable data pipelines in a cloud environment, with an understanding of security, access control, performance optimisation, cost management, and operational support considerations A proactive approach to identifying and resolving data quality, performance or reliability issues Demonstrated ability to work collaboratively with analysts, data scientists, architects, and business stakeholders, translating data requirements into scalable solutions Why FMG? At FMG, our people are at the heart of our success. When you join us, you’ll be supported to do meaningful work that makes a real difference for rural New Zealand. We offer: Flexible working arrangements Ongoing learning and professional development opportunities A collaborative, values‑driven culture Benefits such as wellbeing leave, insurance benefits and “give back” d","• Data pipelines and transformations that move and reshape data from source systems into analytics-ready assets on cloud platforms
• Documented data models, metadata definitions, and reusable data assets that meet governance, quality, and security standards
• Technical solutions and pipeline fixes that resolve data quality, performance, or reliability issues identified across the data platform"
"Alignerr hiring Data Scientist (Masters) in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/data-scientist-masters-at-alignerr-4403879192,3,"Sun, 19 Apr 2026 05:54:12 GMT","Data Scientist (Masters) — AI Data Trainer About The Role What if your expertise in machine learning, statistical modeling, and data engineering could directly shape how the world's most advanced AI systems think and reason? We're looking for Masters-level data scientists to challenge, audit, and refine cutting-edge AI models — stress-testing their reasoning, catching their blind spots, and helping them get smarter. This is a fully remote, flexible contract role. No prior AI industry experience required — just deep, rigorous knowledge of data science and a sharp eye for technical accuracy. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Design Advanced Challenges — Craft complex, domain-spanning data science problems covering areas like hyperparameter optimization, Bayesian inference, cross-validation strategies, and dimensionality reduction Author Ground-Truth Solutions — Develop rigorous, step-by-step technical solutions — including Python/R scripts, SQL queries, and mathematical derivations — that serve as the definitive benchmark for AI responses Audit AI-Generated Code — Evaluate model outputs using libraries like Scikit-Learn, PyTorch, and TensorFlow for correctness, efficiency, and technical soundness Identify Reasoning Failures — Spot logical flaws in AI reasoning — data leakage, overfitting, improper handling of imbalanced datasets — and deliver structured feedback that meaningfully improves model behavior Work Independently — Complete task-based assignments asynchronously on your own schedule Who You Are Pursuing or holding a Masters or PhD in Data Science, Statistics, Computer Science, or a heavily quantitative field Strong foundational knowledge across core areas — supervised/unsupervised learning, deep learning, big data technologies (Spark, Hadoop), or NLP Able to communicate complex algorithmic concepts and statistical results clearly and precisely in writing Naturally detail-oriented — you catch syntax errors, notation inconsistencies, and flawed statistical conclusions that others miss Self-motivated and reliable when working independently without supervision No prior AI or data annotation experience required Nice to Have Experience with data annotation, data quality workflows, or evaluation systems Familiarity with production-level data science practices — MLOps, CI/CD for models, or model monitoring Background in academic research, technical writing, or peer review Exposure to a broad range of applied ML domains — computer vision, time series, recommender systems, etc. Why Join Us Work directly on cutting-edge AI projects alongside the world's leading research labs Fully remote and flexible — work when and where it suits you Freelance autonomy with the structure of meaningful, intellectually stimulating work Engage hands-on with industry-leading large language models at the frontier of AI development Potential for ongoing work and contract renewals as new projects launch",
"Alignerr hiring Data Science Expert - AI Content Specialist in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/data-science-expert-ai-content-specialist-at-alignerr-4403181823,3,"Fri, 17 Apr 2026 05:54:06 GMT","Data Science Expert – AI Content Specialist About The Role What if your data science expertise could directly shape how the world's most advanced AI models reason, code, and solve problems? At Alignerr, we partner with leading AI research labs to train and improve cutting-edge language models — and we need sharp data scientists to help us do it. This is a fully remote, flexible contract role where your domain knowledge becomes the benchmark. You'll design hard problems, build gold-standard solutions, and expose the blind spots in AI reasoning. No prior AI experience needed — just deep expertise in your field. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Design Challenging Problems — Create advanced data science tasks spanning hyperparameter optimization, Bayesian inference, cross-validation strategies, dimensionality reduction, and more Build Ground-Truth Solutions — Author rigorous, step-by-step technical solutions including Python/R scripts, SQL queries, and mathematical derivations that serve as the definitive ""correct"" answer Audit AI-Generated Code — Evaluate AI outputs across libraries like Scikit-Learn, PyTorch, and TensorFlow for technical correctness, efficiency, and best practices Sharpen AI Reasoning — Identify logical flaws in AI outputs — such as data leakage, overfitting, or improper handling of imbalanced datasets — and provide structured feedback that improves how models think Who You Are Holds or is pursuing a Master's or PhD in Data Science, Statistics, Computer Science, or a quantitative field with strong data analysis emphasis Deep knowledge in one or more of: supervised/unsupervised learning, deep learning, big data technologies (Spark/Hadoop), or NLP Able to communicate complex algorithmic and statistical concepts clearly and precisely in writing High attention to detail — you catch errors in code syntax, mathematical notation, and statistical logic No prior AI or annotation experience required Nice to Have Experience with data annotation, data quality assurance, or evaluation systems Familiarity with production-level data science workflows such as MLOps or CI/CD for models Why Join Us Work directly with industry-leading AI models and top research labs Fully remote and asynchronous — work when and where it suits you Freelance autonomy with meaningful, intellectually stimulating work Contribute to AI development that has a real impact on how technology reasons about data Potential for ongoing work and contract extension as new projects launch",
"TSB New Zealand hiring Analytics Engineer in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/analytics-engineer-at-tsb-new-zealand-4402348361,3,"Fri, 17 Apr 2026 02:53:38 GMT","Location can be ether New Plymouth, Auckland or Wellington Fixed term, Full-time up to 31st March 2027 At TSB, you’ll be part of a profit for purpose organisation, that empowers and enables you to be your best and make a positive difference for the people you work with, and the communities you are part of. About the role You’ll be joining an inclusive Data Analytics team, which is part of the wider Operational Excellence team, to deliver business insights to help drive the business forward. The Analytics Engineer will be the bridge between business data consumers and technical systems, working closely across the business and technology teams. You will be responsible for the development and implementation of data models. Who are you? We’re looking for a talented individual with relevant software development experiences, great attention to detail and who will contribute to the design and implementation, of complex data solutions that provide additional data for analytical / reporting purposes. You will be technically proficient with advanced SQL skills and experience in database technologies. Experience in DevOps will be beneficial. In this role, you can expect to: Contribute to the design and implementation, of complex data solutions. Support data modelling activities (conceptual, logical and physical). Provide expert advice and education in the usage and interpretation of data. You will work with other engineering teams to continually acquire new data. We are looking for candidates who have: Demonstrable experience in data and analytics engineering in complex organisations Experience in cloud platforms, preferably Microsoft Azure Experience with ETL or other data flow management tools What’s in it for me? At TSB, we’re small enough to really care about our customers but big enough to have great rates, innovative products, and digital solutions. We are looking for people to help us achieve our goal of being the easiest bank to deal with. We aim to create remarkable experiences for our people, who in turn create remarkable experiences for our customers. By working with us, you’ll be a part of a profit for purpose organisation. We’re 100% owned by Toi Foundation, a philanthropic trust, and our annual dividends contribute to Toi’s transformational impact in our community. We believe that we all bring something unique to our workplace and when we are encouraged to be ourselves, TSB is stronger for it. That’s why we’re committed to supporting your wellbeing, creating space for you to be your best self, both in and out of work, and enabling you to make a meaningful difference in our communities. If you are ready to get stuck in as part of a collaborative team where you’re supported to be your best self…. Apply Now! Closing date for applications is 5.00 p.m., Friday 1st May 2026.",
"Alignerr hiring General Postdoctoral Researcher (Masters/PhDs) in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/general-postdoctoral-researcher-masters-phds-at-alignerr-4404549820,2,"Tue, 21 Apr 2026 08:07:23 GMT","General Postdoctoral Researcher (Masters/PhDs) - AI Training About The Role What if your years of advanced research could directly shape how the world's most powerful AI systems reason, think, and solve problems? We're looking for postdoctoral researchers, PhD holders, and Masters-level experts to work alongside leading AI research labs — designing complex problems, stress-testing AI reasoning, and helping push the frontier of what AI can do. This is a fully remote, flexible contract role built for serious researchers who want meaningful, intellectually stimulating work on their own schedule. No prior AI industry experience required — your deep domain expertise is what matters. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Design and solve advanced, multi-disciplinary problems that challenge and sharpen AI reasoning capabilities Apply your research expertise to develop complex, real-world problem statements across your domain Review and evaluate AI-generated outputs for academic rigor, depth, accuracy, and logical soundness Collaborate asynchronously with AI researchers and domain experts to improve model performance Ensure clarity, precision, and intellectual depth across all your deliverables Who You Are Holder of a Master's or PhD in a STEM or highly technical field from a top-tier university Proven track record of research, publications, or managing complex technical projects Exceptional written communicator with a sharp eye for accuracy and detail Self-motivated and comfortable working independently in an asynchronous environment Fluent in English and based in the U.S., Canada, U.K., Australia, or New Zealand Nice to Have Prior experience with data annotation, data quality review, or AI evaluation systems Proficiency in Python, R, or other research-oriented programming languages Background spanning multiple technical disciplines or cross-domain research experience Why Join Us Work directly on cutting-edge AI projects alongside the world's leading research labs Fully remote and flexible — structure your work around your life, not the other way around Freelance autonomy with intellectually stimulating, high-impact work Put your advanced expertise to use on problems that genuinely matter at the frontier of AI Potential for ongoing work and contract extension as new projects launch",
"Alignerr hiring Masters or PhD Researcher in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/masters-or-phd-researcher-at-alignerr-4404046079,2,"Mon, 20 Apr 2026 05:54:30 GMT","Masters & PhD Researcher (AI Training) About The Role What if the research skills you've spent years building could directly shape the intelligence of tomorrow's most advanced AI systems? We're looking for Masters and PhD-level researchers to tackle complex, multi-disciplinary problems that push AI reasoning to its limits — helping leading research labs build models that are smarter, more rigorous, and more capable. This is a fully remote, flexible contract role designed for serious researchers. You bring the expertise — we provide the platform, the training, and the opportunity to do meaningful work on your own schedule. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Design, solve, and review advanced, multi-disciplinary problems with real-world academic and professional relevance Apply your research expertise to craft complex problem statements that challenge and sharpen AI reasoning Collaborate asynchronously with AI researchers and domain experts to improve model performance Ensure academic rigor, depth, and clarity across all deliverables Work independently on your own schedule — no meetings, no commute Who You Are Holds a Master's or PhD in a STEM or highly technical field from a top university Has a strong track record in research, publications, or complex technical project work Writes and communicates with exceptional precision and clarity Fluent in English and based in the U.S., Canada, U.K., Australia, or New Zealand Naturally rigorous — you hold your work to a high standard and it shows Nice to Have Prior experience with data annotation, data quality, or AI evaluation systems Proficiency in Python, R, or other research-oriented programming languages Background spanning multiple academic disciplines or applied research environments Familiarity with AI model development or machine learning workflows Why Join Us Work directly with cutting-edge AI projects alongside the world's leading research labs Fully remote and asynchronous — work when and where it suits you Freelance autonomy with the structure of meaningful, intellectually stimulating work Put your advanced expertise to use on problems that genuinely matter Potential for ongoing work and contract extension as new projects launch Training and onboarding support provided — hit the ground running from day one",
"ACC New Zealand hiring Analyst in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/analyst-at-acc-new-zealand-4402313419,2,"Thu, 16 Apr 2026 23:02:05 GMT","Design reporting and dashboards that inform real business decisions Collaborate with a wide range of stakeholders across ACC Develop your analytics career in a values‑led organisation 2 x Permanent Wellington based roles About us | Mō mātou ACC is a trusted and high performing organisation, providing care, supporting recovery and promoting injury prevention, now and into the future. You can find more about ACC and the work we do at here. About the role | Mō te tūranga mahi As an Analyst at ACC, you'll play a key role in supporting organisational effectiveness by transforming complex data into clear, accurate, and actionable insights. You will work closely with business stakeholders to understand requirements, design, build and maintain reports and dashboards that help stakeholders understand performance, identify trends, and make informed decisions that improve outcomes for New Zealanders. We're looking to hire two Analysts to join our Performance team, supporting our System Commissioning and Performance Business Unit. The appointing salary for this role is $90,039 - $110,047 based on experience, and we offer an additional 9% superannuation contribution. ACC offers a comprehensive benefits package which at present includes an advantageous superannuation scheme with features like 0% employee contribution, optional life and income protection insurance, and flexibility to change to a locked plan at any time. About you | Mōu This role is well suited to an analyst with a strong grounding in analytics fundamentals who is looking to further develop their skills and impact. You will bring a mix of technical capability, curiosity and strong communication skills, along with a desire to learn and develop. You'll likely have: A tertiary qualification in Data Analytics, Information Systems, Computer Science, Statistics or a related field. At least one year of experience in a data analyst or similar role, including working with complex datasets and trend analysis. Intermediate SQL skills for querying and transforming data. Experience building reports or dashboards using Power BI or similar tools. An understanding of structured data and basic data modelling concepts. Strong analytical skills and attention to detail. The ability to explain data and insights clearly to a range of technical and non‑technical audiences. A collaborative mindset and the confidence to work with a range of stakeholders. Good organisation skills with the ability to manage priorities and deadlines. You must hold New Zealand work rights at the time of application. Exposure to modern data transformation practices (such as DBT) or programming languages like Python is useful but not essential. Working at ACC | Mō ACC At ACC, we embrace the rich tapestry of Aotearoa New Zealand's cultures and are dedicated to providing equitable opportunities. We know that a diverse and inclusive team helps us meet the needs of our customers, and we encourage applications from individuals of all backgrounds, ",
"Alignerr hiring General Postdoctoral Researcher (Masters/PhDs) in Wellington, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/general-postdoctoral-researcher-masters-phds-at-alignerr-4402235335,2,"Wed, 15 Apr 2026 05:54:23 GMT","General Postdoctoral Researcher (Masters/PhDs) - AI Training About The Role What if your years of advanced research could directly shape how the world's most powerful AI systems reason, think, and solve problems? We're looking for postdoctoral researchers, PhD holders, and Masters-level experts to work alongside leading AI research labs — designing complex problems, stress-testing AI reasoning, and helping push the frontier of what AI can do. This is a fully remote, flexible contract role built for serious researchers who want meaningful, intellectually stimulating work on their own schedule. No prior AI industry experience required — your deep domain expertise is what matters. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Design and solve advanced, multi-disciplinary problems that challenge and sharpen AI reasoning capabilities Apply your research expertise to develop complex, real-world problem statements across your domain Review and evaluate AI-generated outputs for academic rigor, depth, accuracy, and logical soundness Collaborate asynchronously with AI researchers and domain experts to improve model performance Ensure clarity, precision, and intellectual depth across all your deliverables Who You Are Holder of a Master's or PhD in a STEM or highly technical field from a top-tier university Proven track record of research, publications, or managing complex technical projects Exceptional written communicator with a sharp eye for accuracy and detail Self-motivated and comfortable working independently in an asynchronous environment Fluent in English and based in the U.S., Canada, U.K., Australia, or New Zealand Nice to Have Prior experience with data annotation, data quality review, or AI evaluation systems Proficiency in Python, R, or other research-oriented programming languages Background spanning multiple technical disciplines or cross-domain research experience Why Join Us Work directly on cutting-edge AI projects alongside the world's leading research labs Fully remote and flexible — structure your work around your life, not the other way around Freelance autonomy with intellectually stimulating, high-impact work Put your advanced expertise to use on problems that genuinely matter at the frontier of AI Potential for ongoing work and contract extension as new projects launch",
"Absolute IT hiring Business Systems Analyst in Upper Hutt, Wellington, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/business-systems-analyst-at-absolute-it-4402669277,1,"Thu, 16 Apr 2026 01:45:52 GMT","About the Role Our client are a well-known New Zealand FMCG manufacturer, with their products stocking the shelves nationwide. We're supporting them with their search for a Business Systems Analyst to join at a critical stage of their Dynamics 365 BC Implementation. In this position you will be the key internal technical resource, working closely with the Project Manager and their vendor partner to ensure effective integration of Dynamics within their business operations. On an ongoing basis this position will also be responsible for optimising and supporting their business systems, with a focus on Microsoft Dynamics 365 Business Central. This hands-on role involves system administration, continuous improvement projects, and collaborating with various departments and external vendors to drive technology solutions. Responsibilities Act as system administrator for Business Central and integrations Identify process improvements and automation opportunities Support system upgrades and testing cycles Troubleshoot system errors and performance issues Liaise with external IT vendors for patching and updates Provide end-user support and training Skills & Experience 3–5 years’ experience as a Systems/Technical Analyst Proven experience in an FMCG environment, with an understanding of Supply Chains & Inventory Management Strong knowledge of Microsoft Dynamics NAV/Business Central preferred, or transferrable knowledge from SAP, Oracle or etc. Proficiency with Microsoft 365 (Teams, SharePoint, Power BI, Power Automate) Familiarity with cloud environments and system integrations How to Apply Apply below, including a CV and Cover Letter highlighting skills & experience relevant to the position, or for further information please contact Ben Dickson on 04 460 0273",
