title,company,link,score,date,snippet,daily_tasks
"Trimble Inc. hiring Data/Analytics Engineer in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/data-analytics-engineer-at-trimble-inc-4388334379,4,"Fri, 10 Apr 2026 09:17:05 GMT","Your Title: Data/Analytics Engineer Job Location: Christchurch (NZ) Our Department: Field Systems Data/Analytics Engineer - Customer 360 Data Pipelines About the Team: The Field Systems Data Team at Trimble is actively building and maturing our data strategy. We are seeking a dedicated Data Engineer to join our Business Intelligence team and actively shape our data backend and infrastructure in a dynamic environment, proactively breaking down data silos. The Role: As a Data/Analytics Engineer, you will take on central tasks in our critical data projects and in the technical communication with the data platform team. Your efforts will be crucial for building a comprehensive 360-degree customer view, managing the growing demand for insights, and enhancing the overall quality and effectiveness of our data analysis. What You Will Do: As a Data/Analytics Engineer in this permanent role, you will join our data analytics team to drive the evolution of our data platform and execute critical data projects: Data Architecture and Platform Evolution (Snowflake/BI tools) Lead or actively participate in the migration of data storage and ETL processes to Snowflake, integrating downstream with BI tools (including Domo). Design and implement scalable data schemas, audit existing data flows, and ensure the integrity of core finance, marketing, product usage, and licensing datasets for analytics and reporting. Establish necessary platform structures and contribute to knowledge transfer for new data platform components and logic, enabling effective consumption in BI tools. Data Enrichment and Insight Development Spearhead data quality and completeness initiatives by designing advanced record linkage and enrichment pipelines using Python and the Splink library. Ensure comprehensive documentation and proper handover of new data enrichment ecosystems and processes. Maintain and optimize SQL-based data extracts crucial for key business dashboards and reporting. Advanced Analytics Implement and deploy complex classification algorithms (currently prototyped in Python) within the production data environment (Snowflake). Establish automated, incremental processes for algorithm execution and integration into the existing ETL/dashboard structure. Support the integration and deployment of new data visualization and tooling solutions. Third-Party Data Integration and Operational Data Quality (Impartner) Collaborate with business teams (e.g., Sales Operations) to support the integration of critical third-party systems and data sources. Implement and maintain data quality feature sets, including manual data cleanup, to ensure the reliability of data used for achieving production and business targets. What Skills & Experience You Should Bring Along with your excellent communication skills, stakeholder engagement, and ability to work independently or as part of a team, you will also have: Bachelor’s or Master's degree in Data Science, Computer Science, Information Systems, or a rel","• Optimized SQL queries and Python-based ETL pipelines that extract, transform, and load data into Snowflake for use in business dashboards and reports
• Record linkage and data enrichment pipeline code using Python and the Splink library, along with accompanying documentation for handover and knowledge transfer
• Scalable data schemas, data quality fixes, and classification algorithm deployments integrated into the existing Snowflake and BI tool (Domo) infrastructure"
"Canonical hiring Sustaining Operations Engineer in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/sustaining-operations-engineer-at-canonical-4398337856,3,"Tue, 07 Apr 2026 04:57:33 GMT","This is a fast-paced engineering role in Linux-based software-defined infrastructure and applications, covering all layers of the stack, including bare metal, virtualization (KVM) and containerization (Docker and LXC/LXD), storage (Ceph and Linux filesystems), networking (OVS, OVN and Core networking), up to OpenStack and Kubernetes, and the open source applications running on top of them. This role is an opportunity for a technologist with a passion for Linux and open source to build a career with Canonical and drive success for our customers, community and the company. If you have great communication skills, and a passion for troubleshooting and fixing issues in technology used by millions across the world, then you will enjoy working with some of the best people in the industry at Canonical. Location: This is a globally remote role. This role deals with critical issues in the open source stack that require deep debugging and troubleshooting skills. Our engineers have to be able to work productively at any level of the stack above the kernel, in a wide range of applications, to understand and address the software issues at hand. Our group is critical to the success of our enterprise customers, partners and Ubuntu itself. You will be the final point of escalation for operational troubleshooting and driving issues to resolution with workarounds, guidance, and fixes to be released upstream and in Ubuntu. What your day will look like Resolve complex customer problems related to Ubuntu, OpenStack, Ceph and/or Kubernetes Maintain a close working relationship with Canonical's field, support and product engineering teams Participate in upstream communities Debug issues, propose workarounds, liaise with Software Engineers on producing a patch Demonstrate good judgment in technical methods and techniques Prioritize work and manage your time effectively against priorities Participate in team activities to improve processes, tools, and documentation Maintain clear, technical and concise communications Participate in a regular weekend working rotation Provide subject matter expertise as the final point of escalation on operational issues Work from home and travel internationally up to 10% of work time for team meetings, events and conferences What we are looking for in you Professional experience troubleshooting advanced Linux issues Background in Computer Science, STEM or similar Exceptionally strong experience with either Linux, LXD, OpenStack, Ceph or Kubernetes Strong debugging experience with Python, Go, C or C++ on Linux Ability to troubleshoot with gdb, pdb, tcpdump or other tools Familiarity with git source code repositories and branches An exceptional academic track record from both high school and preferably university Willingness to travel up to 4 times a year for internal events Additional Skills That You Might Also Bring You love technology and working with brilliant people You are curious, flexible, articulate, and accountable You value soft s",
"Seequent hiring Software Engineer in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/software-engineer-at-seequent-4392278053,2,"Fri, 17 Apr 2026 10:38:23 GMT","About Us At Seequent, we help organisations to understand the underground, giving the confidence to make better decisions faster. We build world-leading technology that is at the forefront of Earth sciences, transforming the way our customers work. Every day we help them develop critical mineral resources more sustainably, design and build better infrastructure, source renewable energy, and reduce their impact on the environment. We operate in 145+ countries while proudly maintaining headquarters in New Zealand. The role We’re excited to share that our Platform Services team in Christchurch is growing, and we’re looking for a friendly and professional Software Engineer to join us. In this role, you’ll support the design, development, and release of our software applications, contributing to scalable, highly available cloud-based systems and their integration with desktop solutions, cloud services, and customer-facing web applications. As part of a cross-functional team, you’ll collaborate on designing, developing, deploying, and supporting a range of systems. We value continuous improvement, and you’ll have the opportunity to learn, share ideas, and grow through regular feedback. In this role, you will: Develop, test, deploy, and support robust, production-ready code. Break down problems, understand requirements, and contribute to effective solutions. Design and document software components, following agreed standards, patterns, and security practices. Collaborate through code reviews, pull requests, and peer feedback to maintain code quality. Work across systems and integrations, using the best tools and technologies for the job. Contribute to team delivery in an Agile environment, continuously learning and improving your skills. What you’ll bring: A degree in Computer Science, Engineering, or equivalent practical experience. Around 3+ years of experience in software engineering. Hands-on Python experience. Experience working with cloud platforms. Familiarity with CI/CD and modern DevOps practices. An interest in backend development. A collaborative approach and willingness to work closely with others. Our technology stack: Services or serverless functions written in Python and Java. A range of AWS and GCP services. Deployments via automated CI/CD pipelines (GitHub Actions) and infrastructure as code. Monitoring and observability using tools such as Datadog. Additional Information Office-based working environment, work from our Christchurch office three or more days per week. Our Commitment to Equity, Diversity, and Inclusion At Seequent, we champion the uniqueness of each individual. Our commitment to inclusiveness, equity, and accessibility is fundamental to who we are. If you require accommodation during our recruitment process, please let our Talent Acquisition team know. We are here to ensure a fair opportunity for all. Research underscores that some individuals, especially women and underrepresented groups, may hesitate to apply for roles ",
"LAB3 hiring Power BI/ Fabric Report Writer (Contract) in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/power-bi-fabric-report-writer-contract-at-lab3-4394779635,2,"Tue, 07 Apr 2026 12:18:35 GMT","Lab3 is one of the largest Azure engineering practices in the Australasia region with a focus on Cloud & DevOps, Data, IoT & AI, Modern Workplace, Modern Apps & Integration, Security, and Network services. We are on the hunt for a Power BI/ Fabric Report writer for an initial 3-month contract. You must be in NZ and have resided here for 5 years+ to be considered for the role (to enable government security clearance). The Role Design, develop, and maintain Power BI reports and dashboards within Microsoft Fabric Create visually compelling and user-friendly reports aligned to business needs Build and optimise semantic models using Fabric datasets Write and optimise DAX measures for accurate calculations and performance Work with data from Fabric Lakehouses, Warehouses, and Dataflows Validate data accuracy and ensure consistency across reports Apply best practices for performance, usability, and accessibility Implement security using Row-Level Security (RLS) where required Collaborate with stakeholders to gather requirements and refine reporting Support report publication, workspace management, and documentation Troubleshoot and resolve Power BI and Fabric report issues The Ideal Candidate Strong hands-on experience with Power BI report development Practical experience working in Microsoft Fabric is a stron preference Strong understanding of data modelling (star schema, relationships) Advanced DAX skills Experience with Power Query/M Familiarity with Fabric Lakehouse and Warehouse concepts Experience connecting to SQL-based and cloud data sources Strong attention to detail and data quality Ability to communicate technical information to non-technical users New Zealand citizen or permanent resident with 5+ years in NZ, thereby eligible for government security clearance You should be available within 2-4 weeks for a 3-month contract on a daily rate Based anywhere in New Zealand What's in it for you? Become part of Australasia's largest Azure engineering practice where you can sharpen your expertise and contribute to the latest innovations in tech and services. #thinkahead Be part of a company that is leading the way in specialised areas and partners on high profile client projects - we are popping new logos every day! #winwithus Work with a 13-time Gold, 6-time Microsoft Advanced Specialisation & 5-time Microsoft Solutions Partner (including Modern Work). You only get to this level with the industry's leading tech professionals - we are proud to have some of the best. #teamup Thrive in a team that is always learning, always innovating and making waves on a global scale. #standout Be part of a supportive working environment that values inclusion, flexibility, diversity and differences. #betrue Work flexibly – we recognise the importance of your overall wellbeing! #Flexit! Ultimately, we will help you to fear less, achieve more in a fast paced, innovative and cool environment - are you ready to accept the challenge? #fearlessachievemore If you have quest",
"Selwyn District Council hiring AMIS Data Support Analyst in Rolleston, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/amis-data-support-analyst-at-selwyn-district-council-4397670442,2,"Sun, 12 Apr 2026 19:46:35 GMT","About the role: The AMIS Data Support Analyst provide essential data management and technical support to the Asset Management Team. This role is focused on ensuring the accuracy, integrity, and accessibility of asset data, supporting the council's efforts to manage infrastructure assets effectively. The position involves managing asset data systems, assisting with data collection and analysis, and supporting the development of asset management reports and plans. Maintaining, updating, and ensuring the accuracy of asset management databases involves regularly reviewing and updating asset records to reflect their status. Periodic audits are conducted to verify data accuracy. This also includes managing bulk data entry exercises to diminish any data entry bottlenecks. Collaborate with ArcGIS to maintain and validate spatial asset data, integrate datasets for mapping and analysis, and ensure data quality by identifying gaps, inconsistencies, duplication, and supporting data governance standards. Providing technical support for the council's asset management software includes troubleshooting issues and offering solutions to users. It also involves performing system updates and maintenance to ensure smooth operation, as well as managing user accounts and permissions to maintain security. Ensuring compliance with relevant legislation, standards, and council policies requires staying informed about changes in legislation and standards. Processes are implemented to ensure data management practices comply with regulations, and regular reviews are conducted to ensure ongoing compliance. Maintaining documentation for data management processes involves creating and updating documentation for system configurations and data quality standards. This documentation is made easily accessible to relevant stakeholders and is used to train new users and support ongoing education. Assisting in the implementation of best practices and new technologies involves researching and recommending new technologies to improve data accuracy and efficiency. Best practices for data management are developed and implemented, and training and support are provided to users on new technologies and practices. About you: Ideally you would have experience with Infrastructure Engineering or Infrastructure Asset Management and an understanding of spatial information systems and geometry types. It is highly desirable to have local government or public sector knowledge and experience. If you tick most of these boxes and have the following skills and experience, talk to us today! At least 3 years' experience in a similar role working in data management or asset management Proficiency in asset management software and data management tools (e.g., AMS, GIS, Excel). Experience with SQL/database querying. Strong data management and analytical skills, with an emphasis on accuracy and detail. Strong analytical and problem-solving skills, with the ability to troubleshoot data issues and implement solutio",
"Datacom hiring Senior Developer / Tech Lead - AI LAB in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/senior-developer-tech-lead-ai-lab-at-datacom-4401001994,2,"Mon, 13 Apr 2026 00:29:30 GMT","Description Our purpose Here at Datacom we connect people and technology in order to solve challenges, create opportunities and discover new possibilities for the communities we live in About The Role (your Why) The way we work and our customer needs are changing! We are going through a significant AI uplift that will be a real game changer in the NZ Market. Our customers are loving our story and excited about our new service solutions. As such we are seeking Senior/Tech Leads, and Senior Developers, who want to get on board our AI journey. We need someone who is passionate about AI development and wants to push boundaries. Your software background is key but your passion for AI is a must. This role will see you will join our Digital Engineering team, focusing on delivering innovative AI-driven software solutions. We will offer you opportunity to work on cutting-edge projects, collaborating with cross-functional teams to design, develop, and use the latest AI Models that address complex business challenges. We need multiple people but we need them now so please don't hesitate this is your chance to put a New Zealand company on the global map!!! What You’ll Bring Must-haves 7+ years professional software development (Python and Typescript preferred) with production ML/AI experience Demonstrated delivery of at least one generative-AI solution in production (chatbot, summariser, code assistant, etc.) Deep familiarity with transformers and orchestration stacks such as LangChain v0.2+, LlamaIndex or Semantic Kernel Practical experience deploying or fine-tuning models on Azure OpenAI / AI Foundry or AWS Bedrock / SageMaker Hands-on with RAG patterns, vector databases and evaluation metrics (BLEU, ROUGE-L, GPTScore) Cloud-native engineering skills: Docker, Kubernetes (AKS/EKS), infra-as-code and automated testing Nice-to-haves Agent frameworks (AutoGen 0.2/0.4, CrewAI) and tool-using agents. Multimodal model workflows (image-text with GPT-4o, Gpt4o real time API). Experience with embedding models Workspace automation using agentic frameworks Advanced RAG variants – familiarity with LongRAG, Self-RAG, GraphRAG and the trade-offs between leading vector stores (Pinecone, Qdrant, FAISS, Azure AI Search) Multimodal & streaming LLMs – delivering real-time GPT-4o or Gemini 2 Ultra use-cases (image to text or speech) and cross-modal embeddings. Why join us here at Datacom? Datacom is one of Australia and New Zealand’s largest suppliers of Information Technology professional services. We have managed to maintain a dynamic, agile, small business feel that is often diluted in larger organisations of our size. It's our people that give Datacom its unique culture and energy that you can feel from the moment you meet with us. We care about our people and provide a range of perks such as social events, chill-out spaces, remote working, flexi-hours and professional development courses to name a few. You’ll have the opportunity to learn, develop your career, connect and",
"Meridian Energy hiring SCADA HMI Support - Fixed Term 6 Mths in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/scada-hmi-support-fixed-term-6-mths-at-meridian-energy-4404074132,2,"Mon, 20 Apr 2026 09:36:43 GMT","Company Description Mai te hiku ki te taurapa, whitikina e te rā From the tail of the fish to the tail of the waka, shines the sun This whakataukī speaks to our journey across Aotearoa, one waka, one purpose, powered by the natural forces that sustain us. Meridian is Aotearoa’s largest renewable electricity producer, generating energy from the winds of Tāwhirimātea, the waters of Tangaroa, and the warmth of Tama-nui-te-rā. Together, our two brands, Meridian and Powershop retail electricity to more than 400,000 homes, businesses and farms across New Zealand. Now that’s a pretty impressive combo! Why is Project Alpha Important to Meridian? Join us in revolutionising the future of energy with Project Alpha! We are implementing a state-of-the-art SCADA-based Generation Control System to replace the existing one, ensuring seamless monitoring and control of Meridian’s diverse energy assets, including hydro, wind, and solar, from a remote location. This innovative project guarantees the efficient and reliable generation of clean energy, reinforcing our commitment to sustainability and technological excellence. Be part of a dynamic team driving the transformation of energy management and making a tangible impact on the environment. If you are passionate about renewable energy and advanced control systems, Project Alpha is the perfect opportunity for you! Mō te tūranga | What you’ll be doing You’ll design, build and refine SCADA HMI displays, working closely with project workstreams to support a smooth and successful implementation. You’ll collaborate with end users, support testing, grow your SME capability, and contribute to a positive, collaborative team environment. Design, build and refine SCADA HMI displays and templates using Hitachi’s Network Manager. Work closely with the HMI Lead, project teams and end users to understand requirements and improve usability. Coordinate across multiple workstreams to manage dependencies and support delivery of SCADA displays. Support testing by contributing to test cases and carrying out HMI testing activities. Build strong relationships across the project, becoming a trusted SCADA HMI subject matter expert and positive team contributor. Ngā painga ki a mātou | What we can offer We Value Work/life Balance, So Our WFH And Flexible Work Options (where Possible) Make Things Easier For You And Your Whānau. We Also Offer An attractive and competitive salary package Enhanced KiwiSaver contributions Excellent learning and development opportunities, we want you to be the best version of yourself and will help you get there! Award winning wellbeing programme that provides support whenever and wherever you need it. Ngā pukenga kei a koe mō tenei tūranga | What you’ll bring Build great SCADA HMI displays – design, configure and refine clear, usable operator screens. Solid technical skills – use design tools, work with simple logic/code, and operate SCADA platforms. Collaborative & user-focused – partner with end users and pr",
"Caterpillar Inc. hiring Reserach Engineer in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/reserach-engineer-at-caterpillar-inc-4401093737,2,"Thu, 16 Apr 2026 08:41:22 GMT","Career Area Engineering Job Description Your Work Shapes the World at Caterpillar Inc. When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it. The CTCT division (a joint venture between Trimble and Caterpillar) develops positioning and control products for earthmoving and paving machines in the construction and mining industries, using technologies such as GPS, optical total stations, lasers and sonics. The products are used in a range of applications where the operator of the machine benefits from having accurate horizontal and vertical guidance Your Position As a Research Engineer in the New Technology team, you will work on new ideas and technologies, de-risking them and evaluating their suitability for production applications. This work requires strong technical and interpersonal skills and applies a mindset that values fast learning and frequent re-evaluation of the suitability of concepts to the customer problem. Key Accountabilities Has in-depth knowledge and experience in own job family and basic knowledge of related job families. Uses best practices and knowledge of internal or external business issues to improve products or services. Solves complex problems. Works independently, typically receives little instruction on day-to-day work, general instructions on new assignments. Acts as a resource for colleagues with less experience. Has in-depth conceptual and practical knowledge in own job family and basic knowledge of related job families. Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market. Acts as a resource for colleagues with less experience; may lead small projects with manageable risks and resource requirements. Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors; demonstrates good judgment in selecting methods and techniques for obtaining solutions; takes a new perspective on existing solutions and resolves a wide range of issues in creative ways. Impacts a range of customer, operational, project or service activities within own team and other related teams; works within broad guidelines and policies. Explains difficult or sensitive information; works to build consensus; networks with senior internal and external personnel in own area of expertise. Skills / Competencies Drive and passion for innovation, curiosity and willingness to learn Strong analytical and decision-making skills Good working knowledge of mathematics and geometry Experience with software development Excellent written and verbal communi",
"Caterpillar Inc. hiring Research Engineer in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/research-engineer-at-caterpillar-inc-4401093737,2,"Thu, 16 Apr 2026 08:41:22 GMT","Career Area Engineering Job Description Your Work Shapes the World at Caterpillar Inc. When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it. The CTCT division (a joint venture between Trimble and Caterpillar) develops positioning and control products for earthmoving and paving machines in the construction and mining industries, using technologies such as GPS, optical total stations, lasers and sonics. The products are used in a range of applications where the operator of the machine benefits from having accurate horizontal and vertical guidance Your Position As a Research Engineer in the New Technology team, you will work on new ideas and technologies, de-risking them and evaluating their suitability for production applications. This work requires strong technical and interpersonal skills and applies a mindset that values fast learning and frequent re-evaluation of the suitability of concepts to the customer problem. Key Accountabilities Has in-depth knowledge and experience in own job family and basic knowledge of related job families. Uses best practices and knowledge of internal or external business issues to improve products or services. Solves complex problems. Works independently, typically receives little instruction on day-to-day work, general instructions on new assignments. Acts as a resource for colleagues with less experience. Has in-depth conceptual and practical knowledge in own job family and basic knowledge of related job families. Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market. Acts as a resource for colleagues with less experience; may lead small projects with manageable risks and resource requirements. Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors; demonstrates good judgment in selecting methods and techniques for obtaining solutions; takes a new perspective on existing solutions and resolves a wide range of issues in creative ways. Impacts a range of customer, operational, project or service activities within own team and other related teams; works within broad guidelines and policies. Explains difficult or sensitive information; works to build consensus; networks with senior internal and external personnel in own area of expertise. Skills / Competencies Drive and passion for innovation, curiosity and willingness to learn Strong analytical and decision-making skills Good working knowledge of mathematics and geometry Experience with software development Excellent written and verbal communi",
"Seequent hiring Software Engineer in Christchurch, Canterbury, New Zealand",LinkedIn,https://nz.linkedin.com/jobs/view/software-engineer-at-seequent-4400497189,2,"Fri, 17 Apr 2026 03:47:45 GMT","About Us At Seequent, we help organisations to understand the underground, giving the confidence to make better decisions faster. We build world-leading technology that is at the forefront of Earth sciences, transforming the way our customers work. Every day we help them develop critical mineral resources more sustainably, design and build better infrastructure, source renewable energy, and reduce their impact on the environment. We operate in 145+ countries while proudly maintaining headquarters in New Zealand. The role We are seeking a Software Engineer with cloud compute service experience for our next-gen cloud geodata platform. You will be part of a talented team working on cutting-edge cloud technologies and driving innovation at Seequent. This role offers skill growth and career advancement while contributing to our market-leading solutions, Seequent Evo. As part of the Seequent Evo ecosystem, we are developing BlockSync, a next-generation SaaS solution for block model management. Block models are 3D representations of underground mining or exploration environments. We aim to enhance collaboration in the creation and updating of these models, work with subsets of large models, and draw insights to support decision-making, and we need your help! We leverage the key capabilities from a variety of Cloud platforms, mostly Azure and GCP. APIs are built using Python, FastAPI and Pydantic. Deployed and run using Docker, Kubernetes, GitHub, GitHub Actions. In this role, you will have the opportunity to: Design and develop sophisticated software applications, components, and modules that push the boundaries of technology. Create models, simulations, and prototypes of software behaviour to gain stakeholder approval and ensure smooth construction, verifying designs with advanced methods. Code, test, document, and refine complex programs, scripts, and integration services, ensuring high-quality and efficient solutions. Participate in code reviews, pair-programming, and automation activities, promoting excellence in software engineering practices. In order to be successful in this role, it would be great if you had: Bachelor’s degree in computer science, engineering, or equivalent. 2+ years working with cloud providers and technologies. Experience with or curiosity to learn the following tools: Python, FastAPI, Kubernetes. Experience working with cloud providers like Azure, AWS or GCP. Strong understanding of CI/CD pipelines; GitHub Actions experience is particularly advantageous. Additional Information Office-based working environment, work from our Christchurch office three or more days per week. Our Commitment to Equity, Diversity, and Inclusion At Seequent, we champion the uniqueness of each individual. Our commitment to inclusiveness, equity, and accessibility is fundamental to who we are. If you require accommodation during our recruitment process, please let our Talent Acquisition team know. We are here to ensure a fair opportunity for all. Rese",
